fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2710130,Baby Toddler vegetables and meat,Survey (FNDDS),64,2.95,11.18,1.08,1.8,
2710129,"Baby Toddler vegetables, with grain",Survey (FNDDS),58,1.84,12.01,0.5,1.9,
2708194,Baby Toddler wheels,Survey (FNDDS),413,10,78.89,6.41,0,
2709381,Baby Toddler yogurt melts,Survey (FNDDS),380,14.29,71.82,4,2.3,
2705464,"Baby Toddler yogurt, plain",Survey (FNDDS),78,3.82,5.57,4.48,0,
2705465,"Baby Toddler yogurt, with fruit",Survey (FNDDS),98,3.48,11.9,4.04,0.1,
2708717,Bacalaitos fritos,Survey (FNDDS),281,14.43,36.1,8.63,1.2,
2710198,Bacon and tomato dressing,Survey (FNDDS),326,1.8,2,35,0.2,
2707337,Bacon biscuit sandwich,Survey (FNDDS),382,13.71,29.26,23.2,1.6,
2707466,Bacon bits,Survey (FNDDS),476,32,28.6,25.9,10.2,
2705890,"Bacon or side pork, fresh, cooked",Survey (FNDDS),468,33.92,1.7,35.09,0,
2707465,"Bacon strip, meatless",Survey (FNDDS),309,11.69,5.31,29.52,2.6,
2710256,"Bacon, for use on a sandwich",Survey (FNDDS),494,39.36,2.01,36.19,0,
2710239,"Bacon, for use with vegetables",Survey (FNDDS),468,33.92,1.7,35.09,0,
2706980,"Bacon, lettuce, tomato sandwich on wheat",Survey (FNDDS),229,12.02,27.53,7.76,3.4,
2706979,"Bacon, lettuce, tomato sandwich on white",Survey (FNDDS),231,10.89,29.71,7.54,1.7,
2705885,"Bacon, NS as to type of meat, cooked",Survey (FNDDS),484,37.41,1.9,35.8,0,
2705886,"Bacon, NS as to type of meat, reduced sodium, cooked",Survey (FNDDS),253,13.33,4.8,20,0,
2707684,Bagel,Survey (FNDDS),264,10.56,52.38,1.32,1.6,
2708292,Bagel chips,Survey (FNDDS),451,12.34,66.36,15.14,4.1,
2707785,"Bagel, multigrain",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707786,"Bagel, multigrain, with raisins",Survey (FNDDS),255,9.51,51.93,1.4,4.1,
2707772,"Bagel, oat bran",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707762,"Bagel, pumpernickel",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707732,"Bagel, wheat",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707737,"Bagel, wheat bran",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707736,"Bagel, wheat, with fruit and nuts",Survey (FNDDS),263,9.52,50.78,2.77,4.4,
