fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g
2708368,"Grits, with cheese, no added fat",Survey (FNDDS),97.0,3.6,11.54,3.92,0.7
2708367,"Grits, with cheese, NS as to fat",Survey (FNDDS),108.0,3.56,11.36,5.28,0.6
2705921,Groundhog,Survey (FNDDS),159.0,28.08,0.0,4.34,0.0
2709308,Guacamole with tomatoes,Survey (FNDDS),145.0,1.87,8.09,13.09,6.1
2709307,"Guacamole, NFS",Survey (FNDDS),155.0,1.95,8.45,14.18,6.5
2709344,Guava nectar,Survey (FNDDS),48.0,0.3,13.3,0.07,1.2
2710307,Guava paste,Survey (FNDDS),292.0,0.1,72.56,0.27,1.1
2706372,"Guisada, beef",Survey (FNDDS),115.0,10.85,2.52,6.62,0.5
2706407,"Guisada, pork",Survey (FNDDS),118.0,10.31,2.52,7.09,0.5
2706726,Gumbo with rice,Survey (FNDDS),89.0,8.16,6.55,3.43,0.9
2706879,"Gumbo, no rice",Survey (FNDDS),83.0,8.54,4.03,3.68,0.9
2706962,Gyro sandwich,Survey (FNDDS),184.0,11.24,18.78,6.76,1.0
2705878,Ham,Survey (FNDDS),117.0,19.04,1.58,3.87,0.0
2706505,Ham and noodles with cream or white sauce,Survey (FNDDS),139.0,6.81,15.32,5.44,0.6
2706514,"Ham and noodles, no sauce",Survey (FNDDS),144.0,7.15,15.88,5.54,0.8
2706506,Ham and rice with mushroom sauce,Survey (FNDDS),136.0,5.37,16.28,5.19,0.4
2706768,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Survey (FNDDS),120.0,7.56,5.12,7.83,1.1
2706767,"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",Survey (FNDDS),115.0,7.45,2.59,8.28,1.2
2707338,Ham biscuit sandwich,Survey (FNDDS),322.0,11.56,28.24,18.1,1.6
2706508,Ham croquette,Survey (FNDDS),273.0,17.97,2.6,20.74,0.2
2706210,"Ham luncheon meat, loaf type",Survey (FNDDS),117.0,17.99,1.57,4.39,0.0
2706517,Ham or pork and potatoes with cheese sauce,Survey (FNDDS),127.0,7.86,11.11,5.69,0.9
2706516,Ham or pork and potatoes with gravy,Survey (FNDDS),126.0,5.4,11.68,6.33,0.9
2706515,"Ham or pork and rice, no sauce",Survey (FNDDS),143.0,6.73,16.8,4.99,0.2
2706756,Ham or pork salad,Survey (FNDDS),230.0,13.26,2.83,18.09,0.4
2706398,Ham or pork with gravy,Survey (FNDDS),160.0,20.15,1.58,7.49,0.0
2706403,Ham or pork with mushroom sauce,Survey (FNDDS),167.0,20.55,1.84,7.98,0.1
2706507,Ham or pork with stuffing,Survey (FNDDS),143.0,6.26,10.43,8.27,0.4
2706404,Ham or pork with tomato-based sauce,Survey (FNDDS),153.0,20.3,1.59,6.8,0.4
2706636,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Survey (FNDDS),155.0,9.18,15.32,6.42,1.1
2706634,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Survey (FNDDS),151.0,8.42,18.31,4.91,1.4
2706635,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Survey (FNDDS),148.0,8.35,16.74,5.19,1.5
2706638,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Survey (FNDDS),125.0,6.48,13.75,5.02,1.5
2706972,Ham salad sandwich on wheat,Survey (FNDDS),241.0,12.64,17.03,13.38,2.1
2706971,Ham salad sandwich on white,Survey (FNDDS),242.0,11.98,18.29,13.26,1.0
2706222,Ham salad spread,Survey (FNDDS),216.0,8.68,10.64,15.53,0.0
2706966,Ham sandwich on wheat,Survey (FNDDS),185.0,13.96,23.62,3.86,2.8
2706967,"Ham sandwich on wheat, with cheese",Survey (FNDDS),212.0,14.94,20.78,7.62,2.4
2706964,Ham sandwich on white,Survey (FNDDS),187.0,12.94,25.58,3.66,1.2
2706965,"Ham sandwich on white, with cheese",Survey (FNDDS),213.0,14.08,22.43,7.46,1.0
2706968,"Ham sandwich or sub, restaurant",Survey (FNDDS),178.0,13.34,22.85,3.66,1.1
2706969,"Ham sandwich or sub, with cheese, restaurant",Survey (FNDDS),210.0,14.59,19.7,8.06,0.9
2706970,Ham sandwich wrap,Survey (FNDDS),230.0,13.54,22.51,9.38,1.5
2706402,Ham stroganoff,Survey (FNDDS),131.0,7.62,5.19,8.85,0.7
2705880,"Ham, canned",Survey (FNDDS),167.0,20.94,0.49,8.43,0.0
2710240,"Ham, for use with vegetables",Survey (FNDDS),117.0,17.99,1.57,4.39,0.0
2705881,"Ham, ground",Survey (FNDDS),167.0,20.94,0.49,8.43,0.0
2706653,"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Survey (FNDDS),126.0,5.56,15.02,5.06,1.7
2706654,"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Survey (FNDDS),128.0,5.47,13.4,5.9,1.8
2706206,"Ham, prepackaged or deli, luncheon meat",Survey (FNDDS),101.0,16.7,0.27,3.73,0.0
2706207,"Ham, prepackaged or deli, luncheon meat, reduced sodium",Survey (FNDDS),101.0,16.7,0.27,3.73,0.0
2705879,"Ham, prosciutto",Survey (FNDDS),195.0,27.8,0.3,8.32,0.0
2706922,Hamburger (Burger King),Survey (FNDDS),254.0,13.63,25.98,10.24,1.1
2706924,Hamburger (McDonalds),Survey (FNDDS),263.0,13.3,29.57,10.18,1.8
2706926,Hamburger slider,Survey (FNDDS),288.0,17.76,19.71,14.72,0.7
2706919,"Hamburger slider, from fast food",Survey (FNDDS),285.0,15.27,29.18,11.35,1.0
2706963,"Hamburger wrap sandwich, from fast food",Survey (FNDDS),299.0,16.86,20.38,16.06,1.4
2706930,"Hamburger, from fast food, 1 large patty",Survey (FNDDS),289.0,18.43,17.12,15.63,0.6
2706929,"Hamburger, from fast food, 1 medium patty",Survey (FNDDS),288.0,17.51,20.68,14.38,0.7
2706921,"Hamburger, from fast food, 1 small patty",Survey (FNDDS),285.0,15.51,28.27,11.68,1.0
