calories,protein_g,carbs_g,fat_g,fiber_g
115.0,18.62,0.64,3.69,0.0
143.0,8.18,15.85,5.24,0.7
135.0,5.8,16.13,5.18,0.7
133.0,5.81,15.73,5.23,0.8
149.0,7.62,20.0,4.29,0.9
145.0,10.88,7.75,7.96,0.9
132.0,5.91,16.08,4.99,1.0
147.0,8.58,15.54,5.51,0.8
131.0,5.77,15.01,5.18,0.8
130.0,5.78,14.69,5.23,0.9
149.0,7.54,18.38,4.86,1.0
143.0,10.56,7.9,7.7,1.1
131.0,5.85,14.9,5.4,1.1
206.0,29.08,0.0,9.72,0.0
140.0,13.2,10.74,5.1,1.0
326.0,18.26,0.0,27.59,0.0
253.0,18.2,12.13,14.1,0.3
125.0,8.12,6.59,7.28,0.7
225.0,25.97,0.21,13.43,0.0
306.0,19.9,7.94,21.05,0.3
187.0,28.83,0.0,7.1,0.0
243.0,29.13,0.0,14.09,0.0
229.0,27.0,0.0,12.88,0.0
289.0,23.5,0.0,21.64,0.0
230.0,26.47,0.0,13.83,0.0
260.0,24.99,0.0,17.73,0.0
166.0,29.72,0.0,4.25,0.0
262.0,26.23,0.0,16.65,0.0
216.0,28.05,0.0,11.32,0.0
239.0,27.14,0.0,13.98,0.0
262.0,26.23,0.0,16.65,0.0
216.0,28.05,0.0,11.32,0.0
239.0,27.14,0.0,13.98,0.0
274.0,25.2,0.0,18.42,0.0
230.0,27.12,0.0,12.69,0.0
252.0,26.16,0.0,15.56,0.0
251.0,28.39,0.0,15.35,0.0
117.0,7.52,4.45,7.96,1.0
115.0,7.3,4.75,7.68,1.2
43.0,0.46,3.55,0.0,0.0
58.0,0.9,0.27,0.0,0.0
29.0,0.24,1.64,0.0,0.0
37.0,0.21,8.05,0.12,0.0
48.0,2.3,4.51,2.87,3.9
25.0,0.72,5.91,0.06,1.1
53.0,0.89,7.0,2.69,1.7
31.0,0.91,7.21,0.14,1.8
53.0,0.84,6.79,2.79,1.2
67.0,1.63,9.65,2.82,2.8
45.0,1.67,9.93,0.18,2.9
53.0,0.89,7.0,2.69,1.7
65.0,0.8,16.28,0.08,0.8
417.0,5.46,53.69,20.18,1.9
52.0,0.76,12.47,0.34,4.1
44.0,0.66,9.94,0.25,2.0
76.0,5.5,8.11,2.44,1.1
261.0,11.94,21.53,14.1,1.4
104.0,7.15,13.55,2.38,1.1
145.0,8.5,12.19,6.79,1.0
109.0,1.93,17.91,3.2,1.2
190.0,9.2,11.06,12.24,1.9
363.0,6.7,46.47,17.05,2.7
224.0,6.2,16.98,14.68,0.8
374.0,8.7,38.78,20.43,2.2
370.0,7.08,42.82,18.92,2.5
324.0,6.79,49.05,11.22,2.8
350.0,7.03,44.89,15.97,1.4
370.0,7.08,42.82,18.92,2.5
362.0,7.5,43.9,18.19,4.5
178.0,25.25,0.0,8.55,0.0
41.0,0.82,4.19,2.72,1.9
56.0,3.49,6.47,2.74,1.8
94.0,3.08,12.61,3.85,3.4
168.0,6.28,17.36,8.45,2.6
158.0,5.91,23.52,4.65,5.3
182.0,5.82,23.66,7.09,4.9
160.0,6.01,24.42,4.32,5.0
279.0,0.04,21.21,0.14,0.0
64.0,1.18,15.67,0.43,5.0
38.0,0.3,7.8,0.6,0.1
379.0,14.6,1.29,34.5,0.0
73.0,0.67,3.8,0.23,0.4
88.0,1.04,22.66,0.4,2.6
115.0,1.52,25.6,1.01,1.8
300.0,1.44,15.18,26.06,1.1
51.0,0.42,12.17,0.64,2.7
42.0,0.46,9.47,0.2,1.6
181.0,0.41,44.38,0.2,2.6
341.0,0.0,85.13,0.0,0.1
281.0,10.34,6.31,23.77,0.0
272.0,10.89,26.54,13.53,2.8
285.0,12.34,23.24,15.82,2.4
274.0,9.87,28.49,13.33,1.2
287.0,11.48,24.9,15.65,1.0
204.0,11.8,5.2,14.8,0.0
281.0,10.34,6.31,23.77,0.0
150.0,11.58,1.47,10.45,0.0
231.0,0.0,0.0,0.0,0.0
238.0,1.05,18.94,3.83,0.0
89.0,0.0,7.8,0.19,0.0
333.0,13.72,2.85,29.18,0.0
334.0,14.03,3.28,28.98,0.0
177.0,3.14,21.71,8.51,0.9
192.0,3.31,17.77,11.92,0.8
274.0,10.67,47.54,4.53,4.0
301.0,11.72,52.24,4.98,4.4
274.0,10.67,47.54,4.53,4.0
408.0,10.42,44.83,20.83,2.1
448.0,11.45,49.26,22.89,2.3
253.0,7.05,44.38,5.29,3.5
293.0,10.36,54.07,3.94,2.5
285.0,7.91,55.25,3.82,1.6
313.0,8.69,60.72,4.2,1.8
272.0,10.75,51.88,2.42,2.2
299.0,11.81,57.01,2.66,2.4
384.0,9.36,44.97,18.84,1.5
287.0,9.5,47.8,6.0,2.3
315.0,10.44,52.53,6.59,2.5
272.0,10.75,51.88,2.42,2.2
299.0,11.81,57.01,2.66,2.4
239.0,8.33,49.1,1.04,4.2
263.0,9.15,53.96,1.14,4.6
374.0,6.01,47.34,18.1,1.2
248.0,4.31,45.78,5.24,4.3
273.0,4.74,50.31,5.76,4.7
269.0,13.3,48.13,2.42,3.3
301.0,6.48,51.07,8.96,2.3
259.0,9.49,48.11,2.73,2.1
285.0,10.43,52.87,3.0,2.3
282.0,7.33,56.1,3.26,2.0
314.0,8.14,62.34,3.62,2.2
272.0,10.13,50.26,3.44,1.7
299.0,11.14,55.23,3.78,1.9
311.0,11.09,50.23,7.28,5.2
279.0,10.39,52.16,3.25,1.8
306.0,11.41,57.32,3.58,2.0
267.0,9.43,49.2,3.59,2.3
293.0,10.36,54.07,3.94,2.5
403.0,6.59,49.66,20.1,1.2
299.0,9.33,53.89,4.89,4.4
296.0,9.23,53.3,4.84,4.4
269.0,8.4,48.5,4.4,4.0
296.0,9.23,53.3,4.84,4.4
238.0,8.81,44.32,2.95,1.7
262.0,9.68,48.7,3.24,1.9
275.0,9.1,55.7,1.2,2.2
279.0,8.16,59.51,1.05,2.6
305.0,4.97,43.21,12.93,1.4
409.0,6.84,39.23,24.94,3.5
270.0,8.82,52.21,3.26,2.5
297.0,9.69,57.38,3.58,2.8
248.0,4.31,45.78,5.24,4.3
273.0,4.74,50.31,5.76,4.7
272.0,10.75,51.88,2.42,2.2
299.0,11.81,57.01,2.66,2.4
267.0,16.4,41.95,3.84,4.4
293.0,18.02,46.1,4.22,4.8
348.0,7.93,58.84,9.06,1.9
188.0,13.16,33.88,0.0,5.3
306.0,11.16,47.98,8.23,2.7
336.0,12.26,52.73,9.05,2.9
241.0,8.64,45.38,2.87,1.7
265.0,9.5,49.87,3.15,1.9
259.0,9.67,47.98,3.26,1.8
284.0,10.62,52.72,3.58,2.0
274.0,10.67,47.54,4.53,4.0
271.0,10.33,49.2,3.72,3.4
297.0,11.35,54.06,4.09,3.7
301.0,11.72,52.24,4.98,4.4
292.0,8.66,57.73,3.72,3.9
321.0,9.51,63.44,4.08,4.3
267.0,9.43,49.2,3.59,2.3
260.0,10.86,46.15,3.57,4.2
301.0,12.45,53.39,4.12,4.7
272.0,10.13,50.26,3.44,1.7
299.0,11.14,55.23,3.78,1.9
293.0,10.36,54.07,3.94,2.5
306.0,5.05,42.64,13.14,0.9
123.0,1.04,26.26,2.77,4.7
201.0,6.56,40.08,1.63,1.6
412.0,12.0,68.4,9.5,3.0
434.0,12.01,72.23,10.86,2.5
342.0,12.18,44.39,12.85,2.4
342.0,12.18,44.39,12.85,2.4
313.0,11.09,46.37,9.16,2.4
342.0,12.18,44.39,12.85,2.4
333.0,14.48,36.41,14.36,1.9
344.0,12.52,43.76,13.15,2.3
376.0,4.4,72.8,7.5,2.1
348.0,3.7,70.9,7.3,4.6
376.0,4.4,72.8,7.5,2.1
255.0,20.28,8.09,18.16,2.8
252.0,20.81,1.61,17.87,0.0
371.0,5.4,47.8,18.5,1.9
292.0,14.02,25.63,14.5,1.1
385.0,4.01,71.83,9.02,1.8
372.0,3.99,76.8,5.99,1.5
427.0,8.96,36.31,27.46,1.5
55.0,2.98,6.15,2.96,3.2
46.0,2.29,4.41,2.71,2.8
23.0,2.35,4.54,0.17,2.8
112.0,3.55,15.86,3.77,1.9
107.0,4.14,15.06,3.6,1.9
46.0,3.2,2.88,3.15,2.7
270.0,5.83,10.38,22.82,1.6
123.0,1.97,10.41,8.11,1.9
50.0,1.72,5.43,2.9,2.9
28.0,1.76,5.59,0.34,3.0
50.0,1.22,4.72,3.42,2.6
41.0,2.68,6.53,0.35,2.5
77.0,2.55,6.2,4.66,2.4
60.0,2.61,6.33,2.62,2.4
67.0,2.59,6.32,3.37,2.4
63.0,2.6,6.33,3.0,2.4
41.0,2.67,6.51,0.35,2.5
47.0,3.02,5.19,2.3,2.9
53.0,3.0,5.18,3.02,2.9
50.0,3.01,5.18,2.66,2.9
28.0,3.09,5.33,0.12,3.0
63.0,2.6,6.33,3.0,2.4
171.0,4.29,21.32,7.61,1.5
67.0,3.42,9.03,2.96,3.8
45.0,3.51,9.3,0.31,3.9
64.0,3.53,8.06,2.92,4.0
42.0,3.63,8.3,0.39,4.1
67.0,3.42,9.03,2.96,3.8
118.0,3.24,18.99,3.97,2.6
11.0,1.21,0.75,0.71,0.6
121.0,2.9,17.31,5.07,4.2
83.0,3.06,18.48,0.24,4.5
83.0,3.06,18.48,0.24,4.5
100.0,1.6,18.06,2.89,3.4
213.0,19.97,0.27,14.21,0.0
161.0,13.06,6.94,8.91,1.8
171.0,12.49,10.58,8.48,1.0
181.0,11.92,14.21,8.05,0.2
161.0,21.04,0.27,8.11,0.0
135.0,13.6,6.94,5.87,1.8
145.0,13.03,10.58,5.44,1.0
155.0,12.46,14.21,5.0,0.2
145.0,13.03,10.58,5.44,1.0
129.0,8.04,17.3,3.42,5.7
267.0,13.28,28.33,10.68,2.0
225.0,10.78,26.05,8.29,2.0
219.0,11.12,23.87,8.54,2.5
231.0,10.44,28.24,8.03,1.5
328.0,13.69,30.59,16.53,2.1
244.0,13.74,28.33,8.06,2.0
209.0,11.1,26.05,6.45,2.0
203.0,11.45,23.87,6.71,2.5
215.0,10.76,28.24,6.2,1.5
262.0,12.85,29.63,9.75,2.1
218.0,10.2,27.29,7.18,2.1
211.0,10.56,24.99,7.45,2.6
224.0,9.84,29.59,6.91,1.6
219.0,11.12,23.87,8.54,2.5
268.0,12.89,28.33,11.02,2.0
226.0,10.51,26.05,8.52,2.0
220.0,10.85,23.87,8.78,2.5
232.0,10.17,28.24,8.26,1.5
202.0,6.89,32.2,4.87,3.2
196.0,8.1,29.49,5.16,4.9
188.0,7.41,30.84,3.95,5.1
373.0,2.0,89.0,1.0,0.0
43.0,3.46,4.81,1.08,0.0
45.0,0.79,8.93,0.8,2.4
75.0,7.75,4.9,2.58,1.7
37.0,1.52,2.2,2.85,1.0
14.0,1.56,2.26,0.21,1.0
32.0,1.0,6.65,0.24,2.6
52.0,0.99,6.44,2.51,2.5
58.0,0.97,6.43,3.26,2.5
55.0,0.98,6.44,2.88,2.5
32.0,1.0,6.63,0.24,2.6
46.0,0.8,10.15,0.21,2.1
58.0,1.26,6.85,2.86,2.1
49.0,1.03,10.49,0.19,1.7
51.0,2.02,6.16,2.75,3.1
